run,duration,batches_per_s
1,101.003595089426,1.28647506341883
2,117.3379876613620,1.0908658189145800
3,118.15147709846500,1.0833550552510400
4,117.59185075759900,1.0885108038979400
5,118.48837566375700,1.080274746640420
6,118.43985629081700,1.0807172856213900
7,117.13956952095000,1.0927135939073700
8,117.75121569633500,1.0870376092769600
9,81.1130633354187,1.5780442105939800
10,81.60778427124020,1.5684778252839900
11,82.06911134719850,1.55966109415378
12,83.24435234069820,1.5376418507783900
13,83.63149833679200,1.5305238163321200
14,84.79026126861570,1.5096073308996600
15,85.82020235061650,1.491490307574190
16,86.65592527389530,1.4771061481996500
17,86.5136170387268,1.47953587401972
18,87.04283905029300,1.4705402695567200
19,87.62297582626340,1.4608040732809100
20,88.67224717140200,1.4435181703761100
21,89.33852362632750,1.4327525775485200
22,90.25459384918210,1.4182103596177200
23,91.83166265487670,1.3938547587998200
24,92.5786464214325,1.3826082465855500
25,92.8251326084137,1.3789368935240100
26,93.32054924964910,1.3716164449223000
27,94.92613196372990,1.3484168937685900
28,96.5844554901123,1.3252650165129700
29,98.0221791267395,1.3058269173398000
30,99.52611947059630,1.2860945516700900
31,100.13520741462700,1.2782716819069800
32,100.75710368156400,1.2703818919263000
33,102.18414378166200,1.2526405297626100
34,103.58857655525200,1.235657485183490
35,103.75502705574000,1.23367516381866
36,104.77710485458400,1.221640931744070
37,104.6923439502720,1.222629995377690
38,106.16871500015300,1.2056282304991300
39,106.81756401062000,1.1983048030123000
40,108.24304032325700,1.182524064528680
41,108.08826208114600,1.1842173935954800
42,109.94182991981500,1.1642520421331500
43,110.50052523613000,1.1583655347019900
44,111.27666544914200,1.15028608633587
45,112.05603384971600,1.1422856547972000
46,112.42705154418900,1.138516026542680
47,114.05074548721300,1.1223074382652800
48,115.06403923034700,1.112424010630780
49,115.18946313858000,1.1112127490863300
50,116.57051205635100,1.0980478488258200
